"","x"
"174","https://www.finextra.com/newsarticle/31539/contego-gets-the-nod-for-open-banking-id-checking"
"175","https://www.finextra.com/newsarticle/31480/barclays-begins-preparations-for-open-banking"
"176","https://www.finextra.com/newsarticle/31470/retailers-eye-the-potential-of-open-banking"
"177","https://www.finextra.com/newsarticle/31457/open-up-challenge-prize-winners-share-the-spoils"
"178","https://www.finextra.com/newsarticle/31382/bofe-stress-tests-banks-coud-be-underestimating-the-risks-from-fintech"
"179","https://www.finextra.com/newsarticle/31368/uk-open-banking-expanded-to-cover-all-psd2-products"
"180","https://www.finextra.com/newsarticle/31217/hsbc-partners-bud-for-open-banking-trial"
"181","https://www.finextra.com/newsarticle/31121/hsbc-moves-into-open-banking"
"182","https://www.finextra.com/newsarticle/30791/open-banking-releases-payments-initiation-api-for-uk-bank-data-sharing"
"183","https://www.finextra.com/newsarticle/30706/open-banking-rules-to-trigger-new-wave-of-challengers"
"184","https://www.finextra.com/newsarticle/30077/cma-issues-final-order-on-open-banking"
"185","https://www.finextra.com/newsarticle/30717/swift-offers-200000-for-two-fintechs-to-leverage-gpi-platform"
"186","https://www.finextra.com/newsarticle/30614/bbva-launches-open-api-marketplace"
"187","https://www.finextra.com/newsarticle/30322/open-apis-to-shake-up-small-business-banking-market"
"188","https://www.finextra.com/newsarticle/30249/currencycloud-secures-20-million-funding-to-fuel-expansion"
"189","https://www.finextra.com/newsarticle/30200/anthemis-secures-insurtech-investment-partnership-with-baloise"
"190","https://www.finextra.com/newsarticle/29251/anthemis-secures-backing-from-eif-and-unicredit-for-inaugural-venture-fund"
"191","https://www.finextra.com/newsarticle/30131/dnb-spins-off-vipps-mobile-payment-service"
"192","https://www.finextra.com/newsarticle/29876/eba-bends-under-weight-of-psd2-mandates"
"193","https://www.finextra.com/newsarticle/29531/psd2-an-open-opportunity"
"194","https://www.finextra.com/newsarticle/29301/banks-unsure-on-response-to-psd2-upheaval"
"195","https://www.finextra.com/newsarticle/32081/australian-government-pushes-back-against-bank-delaying-tactics-on-open-banking"
"196","https://www.finextra.com/newsarticle/31751/nab-invests-in-real-estate-investment-platform-brickx"
"197","https://www.finextra.com/newsarticle/31712/oz-digital-banking-startup-xinja-scores-licence-to-offer-home-loans"
"198","https://www.finextra.com/newsarticle/31187/nab-embeds-in-property-search-market"
"199","https://www.finextra.com/newsarticle/30564/ubank-unveils-robochat-for-home-loan-applications"
"200","https://www.finextra.com/newsarticle/29435/westpac-pumps-165-million-into-digital-mortgage-startup-uno"
"201","https://www.finextra.com/newsarticle/32076/facebook-puts-former-paypal-president-marcus-in-charge-of-new-blockchain-unit"
"202","https://www.finextra.com/newsarticle/32055/bbva-vc-fund-invests-in-brazilian-neo-bank-neon"
"203","https://www.finextra.com/newsarticle/32058/cmspi-raises-ec-complaint-over-visa-fee-changes"
"204","https://www.finextra.com/newsarticle/31664/lenders-to-allow-airbnb-income-on-mortgage-refinancing-applications"
"205","https://www.finextra.com/newsarticle/31538/nuvo-unveils-ai-powered-mortgage-broker-chatbot"
"206","https://www.finextra.com/newsarticle/30981/hsbc-taps-capita-for-mortgage-broker-platform"
"207","https://www.finextra.com/newsarticle/30728/santander-launches-in-branch-mortgage-video-service"
"208","https://www.finextra.com/newsarticle/27711/atom-bank-contracts-with-iress-for-digital-mortgage-platform"
"209","https://www.finextra.com/newsarticle/27675/halifax-offers-mortgage-by-mobile"
"210","https://www.finextra.com/newsarticle/31421/citi-appoints-ebay-exec-to-key-asia-pacific-data-role"
"211","https://www.finextra.com/newsarticle/27953/p2p-platform-landbay-joins-council-of-mortage-lenders"
"212","https://www.finextra.com/newsarticle/31008/fitbit-brings-nfc-payments-to-ionic-smartwatch"
"213","https://www.finextra.com/newsarticle/30677/abn-amro-it-takes-share-of-blame-for-mortgage-malpractice"
"214","https://www.finextra.com/newsarticle/30386/ocbc-bank-launches-emma-the-mortgage-chatbot"
"215","https://www.finextra.com/newsarticle/30153/chase-preps-digital-mortgage-platform"
"216","https://www.finextra.com/newsarticle/30646/ing-backed-money-management-app-launches-in-the-uk"
"217","https://www.finextra.com/newsarticle/30615/robot-heart-surgeons-more-trusted-than-robot-bankers"
"218","https://www.finextra.com/newsarticle/27239/hsbc-publishes-mortgage-account-information-on-the-internet"
"219","https://www.finextra.com/newsarticle/26898/moving-from-cheques-to-mortgages-barclays-to-accept-photos-of-customer-documents"
"220","https://www.finextra.com/newsarticle/25973/nationwide-rolls-out-in-branch-video-links-for-mortgage-advice"
"221","https://www.finextra.com/newsarticle/23968/post-office-begins-selling-mortgages-in-branches"
"222","https://www.finextra.com/newsarticle/23955/tesco-launches-mortgage-range"
"223","https://www.finextra.com/newsarticle/30066/after-raising-5m-qvivr-gears-up-to-launch-wallet-replacing-card"
"224","https://www.finextra.com/newsarticle/26398/sberbank-throws-in-free-cat-with-every-mortgage"
"225","https://www.finextra.com/newsarticle/30025/deutsche-brse-looks-for-collateral-shift-with-collco-digital-coins"
"226","https://www.finextra.com/newsarticle/27692/savingsglobal-an-amazon-for-eu-savings-raises-eur20-million-in-funding"
"227","https://www.finextra.com/newsarticle/25848/lemon-co-founder-raises-20-million-for-bitcoin-vault-start-up"
"228","https://www.finextra.com/newsarticle/25535/coinbase-scores-25-million-funding-round-as-vcs-pile-into-bitcoin"
"229","https://www.finextra.com/newsarticle/24460/ribbit-capital-raises-100m-for-financial-innovation-fund"
"230","https://www.finextra.com/newsarticle/29867/alipay-advances-on-europe-with-bank-and-processor-deals"
"231","https://www.finextra.com/newsarticle/29781/atom-bank-hires-royal-philharmonic-to-take-the-stress-out-of-banking"
"232","https://www.finextra.com/newsarticle/29554/atom-bank-opens-doors-to-all-uk-customers"
"233","https://www.finextra.com/newsarticle/28707/atom-opens-with-a-promise-to-change-uk-banking-landscape"
"234","https://www.finextra.com/newsarticle/28608/atom-bank--to-deploy-intelligent-software-to-answer-customer-queries"
"235","https://www.finextra.com/newsarticle/28264/atom-bank-to-launch-with-face-and-voice-biometrics"
"236","https://www.finextra.com/newsarticle/28164/bbva-buys-295-stake-in-atom-for-45-million"
"237","https://www.finextra.com/newsarticle/28128/atom-chief-launches-ferocious-assault-on-dinosaur-banks"
"238","https://www.finextra.com/newsarticle/27645/atom-bank-signs-for-intelligent-environments-platform"
"239","https://www.finextra.com/newsarticle/31563/abn-amro-pulls-out-of-payconiq-mobile-app-coalition"
"240","https://www.finextra.com/newsarticle/24755/ap-twitter-hack-sparks-share-sell-off"
"241","https://www.finextra.com/newsarticle/24542/twitter-chatter-influences-stock-prices---survey"
"242","https://www.finextra.com/newsarticle/24510/dcm-capital-auctions-itself-on-line---starting-bid-1"
"243","https://www.finextra.com/newsarticle/25793/banks-and-capital-markets-firms-to-boost-compliance-spending-by-10---accenture"
"244","https://www.finextra.com/newsarticle/24756/finra-pushes-for-wall-street-exemption-from-social-media-monitoring-rules"
"245","https://www.finextra.com/newsarticle/24694/bloomberg-adds-real-time-tweet-stream-to-market-data-desktop"
"246","https://www.finextra.com/newsarticle/24688/sec-greenlights-use-of-social-media-for-company-news"
"247","https://www.finextra.com/newsarticle/24681/new-city-watchdog-to-trawl-twitter-for-bad-bank-behaviour"
"248","https://www.finextra.com/newsarticle/24430/twitter-sentiment-based-trading-platform-set-for-launch"
"249","https://www.finextra.com/newsarticle/24276/start-up-pitches-social-media-analysis-tool-to-traders"
"250","https://www.finextra.com/newsarticle/23757/after-closing-twitter-based-fund-derwent-offers-sentiment-software-to-day-traders"
"251","https://www.finextra.com/newsarticle/23351/topsy-labs-to-release-twitter-trading-tool"
